IsPossGoal,PlayerX,PlayerY,BallX,BallY,teammates_within_5,opponents_within_5,teammates_within_10,opponents_within_10,teammates_within_15,opponents_within_15,teammates_ahead_of_ball,opponents_ahead_of_ball
0,27.57,1.82,26.82,1.37,0,1,1,3,2,7,4,8
0,28.64,2.76,28.53,2.13,0,1,1,3,4,6,5,8
0,22.87,-4.93,23.49,-5.26,0,1,2,2,5,6,4,9
0,26.07,3.19,26.54,3.62,0,1,3,5,5,9,5,9
0,20.28,0.53,17.79,21.22,1,0,1,1,2,1,3,7
0,29.33,0.24,9.5,3.22,0,0,2,2,3,3,7,10
0,28.52,-3.95,28.33,-6.02,0,2,2,3,3,6,4,7
0,25.37,-4.34,25.64,-4.65,0,2,0,4,2,6,1,4
0,20.11,0.29,28.38,0.65,0,0,1,2,3,6,4,8
0,26.92,2.93,26.26,2.35,0,2,2,5,4,8,4,7
0,20.46,-2.43,19.95,-1.94,0,0,1,2,5,6,3,8
0,29.75,0.09,29.31,-1.7,0,1,0,2,3,7,4,9
0,22.38,-4.24,22.83,-4.21,1,1,2,2,4,8,6,9
0,29.8,4.46,25.94,3.32,1,1,2,4,3,7,5,9
0,23.11,4.75,31.94,-0.7,0,1,1,3,4,8,6,9
0,22.81,2.06,24.42,3.85,0,0,2,2,2,6,4,8
0,29.5,4.66,28.53,4.47,1,0,2,5,3,6,2,4
0,28.22,4.82,26.25,5.37,1,2,1,4,3,6,1,5
0,21.2,-4.99,21.5,-5.25,0,1,2,3,5,6,2,7
0,23.31,2.33,23.53,1.75,0,1,3,3,4,7,6,9
0,20.16,-4.66,15.04,-5.69,0,0,1,2,2,3,4,9
0,23.34,1.5,20.59,-1.48,1,1,1,5,3,7,4,9
1,29.09,1.44,30.44,2.55,0,1,3,6,6,8,5,9
0,27.91,4.66,27.47,5.19,0,2,1,4,3,7,1,5
0,22.2,0.42,21.94,0.35,0,0,1,3,3,5,5,8
0,20.97,-4.31,20.35,-4.95,0,1,2,3,5,4,7,10
0,27.74,-0.72,27.09,-3.13,0,3,1,5,3,8,3,7
0,21.9,4.79,22.06,4.24,0,0,1,2,3,5,6,9
0,22.98,4.23,22.33,2.94,0,2,1,2,3,6,6,9
0,22.89,-1.45,25.33,-7.2,0,0,1,2,2,5,2,4
0,27.29,2.86,26.55,2.52,0,2,1,2,2,5,4,8
0,22.13,3.12,32.47,-10.51,0,1,1,1,3,4,2,4
0,22.78,-2.66,22.78,-2.89,0,2,1,4,3,5,3,7
0,20.12,4.54,20.56,4.76,0,2,3,2,5,6,8,10
0,23.97,3.03,25.45,4.92,1,2,3,4,3,8,2,4
0,26.22,-4.44,26.49,-3.77,1,2,4,7,5,9,3,7
0,23.19,-3.5,24.2,-3.91,0,1,1,1,3,5,5,9
0,21.94,0.5,24.65,-1.86,0,2,2,5,2,7,4,8
1,24.98,-1.71,25.32,-1.65,1,1,2,4,5,7,4,7
0,21.58,-3.09,23.36,-5.77,0,0,2,2,3,5,4,8
0,26.62,-2.8,26.11,-1.41,0,1,1,4,5,7,6,9
0,23.08,0.92,23.54,-0.61,0,2,3,2,6,8,6,9
0,29.3,1.71,29.47,5.38,1,1,3,5,3,8,3,7
0,20.66,-3.06,20.01,-2.82,0,1,1,4,1,6,2,5
0,21.21,2.25,19.74,3.75,0,1,2,2,3,3,8,11
0,21.79,0.01,26.61,7.74,0,0,0,1,3,5,6,9
0,29.22,-3.86,28.84,-1.49,1,1,1,4,3,8,3,7
0,24.37,0.66,24.35,-1.07,1,2,1,2,5,7,6,10
