GameEventID,EventPlayerID,IsPossGoal,IsePlayer,IsTM,PlayerX,PlayerY,BallX,BallY
6306173,491536,0,0,1,7.2,-11.92,25.57,0.4
5980811,35813,0,0,1,-33.4,-0.71,19.83,-4.8
1403974,354613,0,0,0,39.78,-2.9,29.56,-0.67
6543355,39049,0,0,1,1.35,9.34,27.87,-2.06
1219066,267160,0,0,0,28.14,24.33,21.85,2.7
6159287,623444,0,0,0,30.25,4.02,23.78,-3.48
6572897,746837,0,0,0,8.4,31.43,28.08,0.16
6559560,179308,0,0,0,29.25,20.52,28.41,-0.13
1344073,226005,0,0,0,29.32,-16.73,22.65,-8.57
1312693,349707,0,0,1,35.37,3.15,25.09,-3.99
6391057,503343,0,0,0,35.49,-4.64,22.01,-7.34
6388742,402825,1,0,1,13.17,10.61,21.44,1.76
6599037,129724,1,0,1,26.2,12.31,25.34,4.11
1281135,349699,0,0,0,33.43,-4.89,24.12,3.31
6074891,972468,0,0,1,21.98,11.43,27.11,-5.63
6447560,35773,0,0,0,14.45,-7.5,23.7,-0.36
6643725,478802,0,0,1,33.84,-24.04,36.57,-20.59
6543355,39049,0,0,1,24.05,11.43,27.87,-2.06
6534992,86792,0,0,1,-30.59,0.06,27.85,-0.12
6156289,43228,0,0,1,25.32,-8.41,24.14,-4.25
1492869,526050,0,0,0,13.91,8.07,20.04,0.02
1147031,912098,0,0,0,25.32,-0.2,22.61,7.29
6218892,173573,1,0,0,26.6,2.6,20.84,-0.12
6451652,460529,0,0,1,4.11,15.58,2.06,-13.87
5868212,401728,0,0,1,21.92,-11.09,11.73,-0.91
6649190,724443,0,0,0,37.67,-4.85,23.62,-1.21
1383342,215686,0,0,0,26.61,3.91,26.64,4.69
6454861,222565,0,0,0,33.06,-12.72,19.99,5
6267546,344576,0,0,1,28.29,-11.04,21.86,-3.83
6324167,55666,0,0,1,32.98,-6.71,28.17,-4.5
6557396,187309,0,0,0,25.17,1.55,21.82,0.49
6285489,230030,0,0,0,26.2,-5.06,28.25,-4.58
1268821,262999,0,0,1,30.2,-11.51,29.46,0.13
5644954,315169,0,0,0,24.31,4.33,21.12,2.86
6511818,230030,0,0,1,12.22,-15.8,15.31,10.75
5902467,465822,0,0,1,27.65,9.42,25.6,5.95
5720459,271184,0,0,0,25.28,-5.38,25.01,-5.05
1305480,77760,0,0,1,40.6,4.96,23.21,1.3
1409145,162569,0,1,1,27.57,1.82,26.82,1.37
6305987,315169,0,0,1,8.05,-0.7,25.29,5.1
6465640,291658,0,0,1,7.47,1.82,26.05,3.81
1295364,72519,0,0,1,22.68,-14.43,27.57,-3.04
1266805,654766,0,0,1,32.95,-7.59,26.49,-3.77
6008961,55666,0,0,0,0.93,-3.81,23.18,6.38
6199167,173573,0,0,0,45.65,0.12,17.19,-4.58
1487491,102452,0,0,1,37.44,-26.41,22.53,-2.34
1507082,576028,0,0,1,10.52,7.15,19.23,-6.73
6559560,179308,0,0,0,49.89,-0.36,28.41,-0.13
6376509,439626,0,0,1,38.28,17.92,31.47,4.93
6502854,677512,0,0,1,-6.65,-0.34,25.44,1.95
6168779,739675,0,0,1,15.26,18.22,23.54,0.53
5618523,401580,0,0,1,19.68,-3.54,25.22,0.9
1315792,465819,0,0,0,3.23,1.23,24.4,1.85
6149536,187309,0,0,0,36.13,-7.68,25.25,-1.17
6411162,278992,0,0,1,10.99,21.56,20.25,-5.59
6335447,576026,0,0,0,35.28,3.62,21.74,-2.59
6051228,215212,0,0,1,1.57,15.64,26.88,3.01
1321550,435485,0,0,0,2.93,-9.26,14.53,-23.86
6175245,102452,0,0,1,-0.71,21.49,25.14,-0.64
5844886,82113,0,0,1,11.17,14.06,22.95,-4.18
6073685,50935,0,0,0,30.56,-3.63,26.75,-2.38
1444500,491707,0,0,0,26.38,8.82,27.13,-0.9
5855742,144789,0,0,0,34.48,-4.7,23.31,4.7
6269277,30593,0,0,0,23.56,-24.82,29.54,6.13
1356231,127987,0,0,1,29.48,-0.63,21.21,6.54
6089898,459463,0,0,1,38.81,14.53,28.7,-2.18
6309466,279681,0,0,1,34.26,-2.64,32.61,13.02
6576376,254230,0,0,0,43.02,0.37,21.49,0.12
5986417,165361,0,0,1,16.31,32.02,6.41,-1.97
6295986,196077,0,0,0,28.51,3.44,24.81,2.76
1391950,127987,0,0,0,39.23,-9.48,28.45,-0.27
1366236,109196,0,0,1,32.95,13.59,21.84,-2.86
5866927,222565,0,0,1,-18.23,38.72,24.17,-7.72
6682020,401728,0,0,1,-24.26,0.34,25.28,-4.19
6551460,735115,0,0,0,19.26,-22.87,2.97,-27.3
6039960,71096,0,0,0,30.41,-23.56,25.86,-1.11
1164141,443391,0,0,0,37.52,6.37,24.28,-2.98
6319209,343553,0,0,1,12.98,5.15,21.04,-0.82
6195011,188853,0,0,0,35.44,7.89,27.83,1.09
6429131,189895,0,1,1,27.2,0.46,27.63,-1.5
1273884,439626,0,0,1,11.38,0.75,21.26,-1.76
5776559,546036,0,0,1,35.31,-21.23,26.73,-0.39
1252868,271183,0,0,0,28.96,-12.68,21.19,-8.11
5891872,467632,0,0,1,-27.22,-0.65,23.41,-2.41
6493427,216758,0,0,0,28.51,0.35,21.24,1.82
6249101,207446,0,0,1,29.41,-30.87,23.87,-4.36
1396817,62810,0,0,1,27.55,-12.48,24.03,2.83
5952819,30687,0,0,1,16.76,6.05,28.98,-1.99
1434320,71096,0,0,1,-30.61,0.54,25.3,3.29
5822258,193081,0,0,1,5.92,-19.49,30.45,16.66
5846254,30687,0,0,1,23.08,3.24,22.44,-3.21
1507750,173489,0,0,1,-28.1,1.07,24.43,3.64
6444987,659806,0,0,1,31.82,-3.8,25.62,1.17
6176124,131109,0,0,0,30.88,6.37,28.86,5.01
5786955,585467,0,0,1,6.42,18.36,29.74,-2.43
1118715,654766,0,0,0,-3.46,-19.71,21.08,2.41
1498931,43228,0,0,0,34.69,-14.09,24.17,-4.85
6357202,216758,0,0,0,28.08,5.83,29.33,0.66
6336389,546036,0,0,1,34.43,-9.73,23.02,5.66
1178772,354613,0,0,1,33.33,14.02,26.5,-5.53
6336883,677512,0,0,0,49.67,-0.06,23,-2.73
