GameEventID,teammates_within_5,opponents_within_5,teammates_within_10,opponents_within_10,teammates_within_15,opponents_within_15,teammates_ahead_of_ball,opponents_ahead_of_ball,+/-_ahead_of_ball
912769,0,1,0,2,2,4,2,3,-1
1082280,1,1,1,1,2,2,3,8,-5
1082666,1,2,1,5,3,5,4,5,-1
1084616,0,3,1,5,2,7,3,5,-2
1085994,1,3,2,4,2,6,3,6,-3
1086868,1,2,2,4,4,8,4,6,-2
1086892,0,1,3,2,3,8,4,8,-4
1087376,0,1,3,5,3,9,6,9,-3
1087573,0,0,0,1,4,4,6,10,-4
1087971,0,2,1,2,2,5,3,5,-2
1088368,1,0,1,1,1,1,1,5,-4
1089454,0,2,2,5,3,8,3,7,-4
1090051,0,1,1,5,4,8,4,9,-5
1090369,0,1,1,3,3,6,5,9,-4
1091911,0,1,2,4,3,8,5,8,-3
1098043,0,1,0,2,5,4,5,9,-4
1099364,0,1,1,2,3,4,7,10,-3
1099583,0,1,1,2,5,4,6,9,-3
1099663,1,1,3,3,3,5,4,9,-5
1102692,0,1,2,2,5,5,6,9,-3
1103978,0,2,1,4,1,6,3,5,-2
1104997,0,1,2,1,3,5,4,7,-3
1105356,0,1,1,5,2,7,3,5,-2
1105374,1,3,2,4,3,7,3,8,-5
1107182,1,0,1,2,3,5,5,7,-2
1110508,0,2,1,3,4,6,6,10,-4
1110679,1,1,1,6,2,8,4,6,-2
1111213,1,0,1,2,2,5,3,6,-3
1111514,0,1,1,1,2,3,1,3,-2
1114520,0,1,2,4,2,6,2,5,-3
1115831,0,1,0,3,3,5,3,4,-1
1115966,0,1,3,1,3,5,7,11,-4
1116372,0,3,2,4,3,6,3,7,-4
1117085,0,1,0,3,4,7,4,9,-5
1117409,0,0,2,2,3,5,5,10,-5
1117682,0,0,1,3,2,7,3,6,-3
1117811,0,1,0,3,4,6,7,10,-3
1118390,0,0,1,3,2,5,7,10,-3
1118715,0,0,0,1,2,5,3,6,-3
1120270,1,1,1,2,4,4,5,7,-2
1120314,0,1,2,4,5,8,5,8,-3
1120383,0,3,2,6,3,7,3,3,0
1120797,0,1,1,3,3,8,7,9,-2
1122716,0,1,1,3,3,4,4,8,-4
1122837,1,3,2,3,6,6,4,9,-5
1122933,0,1,2,4,4,7,4,8,-4
1123296,0,1,1,3,3,9,6,9,-3
1124439,0,2,1,3,2,4,3,6,-3
1125707,0,1,2,5,3,7,2,6,-4
1125827,1,1,3,3,3,4,4,9,-5
1126182,1,1,2,2,6,8,7,11,-4
1126354,0,0,2,2,4,4,7,10,-3
1126928,1,2,2,3,4,8,5,8,-3
1128569,1,2,2,6,3,7,2,5,-3
1129539,0,1,0,2,3,5,4,6,-2
1129780,0,1,1,1,3,6,5,6,-1
1129926,1,1,1,4,3,5,1,5,-4
1130147,1,1,2,3,4,5,2,6,-4
1132035,1,0,1,0,2,1,6,11,-5
1132632,1,0,1,4,2,5,3,5,-2
1134100,0,1,2,5,5,7,6,9,-3
1134584,0,0,1,1,3,4,6,10,-4
1135529,2,2,3,6,3,7,0,7,-7
1135957,0,2,3,4,5,8,5,9,-4
1136097,1,1,1,4,5,5,7,9,-2
1137047,0,0,1,2,2,6,6,10,-4
1137061,0,1,1,2,1,4,2,4,-2
1137417,0,2,0,3,2,5,5,9,-4
1137432,0,1,0,2,5,6,5,9,-4
1137545,0,0,1,2,6,7,6,10,-4
1137651,0,2,2,4,3,7,4,9,-5
1139112,0,1,1,3,3,5,3,9,-6
1139342,0,2,0,2,3,5,3,6,-3
1139377,0,2,2,5,4,7,4,7,-3
1139484,0,1,1,3,3,6,3,9,-6
1139815,1,3,1,4,3,5,2,5,-3
1140836,1,2,2,4,4,7,4,7,-3
1141548,0,2,1,3,1,4,1,2,-1
1141702,0,1,0,5,5,7,2,6,-4
1141788,3,2,5,6,7,9,5,6,-1
1142040,0,2,3,5,7,8,5,8,-3
1142988,0,2,2,4,4,6,4,5,-1
1143754,0,1,0,3,1,5,1,5,-4
1144341,2,2,3,3,5,4,6,9,-3
1145633,1,1,1,2,5,8,7,10,-3
1146548,0,0,2,2,5,9,6,9,-3
1146787,0,2,2,5,2,7,4,8,-4
1146919,0,0,1,1,3,1,9,11,-2
1147031,1,2,3,5,4,6,2,8,-6
1148073,0,0,1,1,2,4,6,9,-3
1149027,0,2,3,5,4,8,2,6,-4
1149196,1,2,3,2,3,7,4,7,-3
1149246,0,0,1,2,3,5,6,9,-3
1149531,1,0,1,0,1,1,5,6,-1
1149835,1,3,2,5,2,5,1,5,-4
1150095,0,2,3,3,4,8,5,10,-5
1150151,0,1,0,2,0,4,7,10,-3
1150216,0,1,3,3,7,10,7,11,-4
1150544,1,2,2,3,4,4,2,4,-2
1150735,1,0,1,2,1,5,5,8,-3
1150892,0,1,0,1,3,5,7,9,-2
1151397,0,0,1,2,2,4,5,7,-2
1152394,1,1,1,1,3,5,6,10,-4
1152866,0,1,2,2,4,7,6,9,-3
1152897,0,1,1,3,3,5,0,3,-3
1153312,0,1,1,2,2,7,4,9,-5
1154635,0,2,4,5,4,7,2,6,-4
1155637,1,0,1,0,2,0,8,11,-3
1155845,1,2,3,3,3,4,3,7,-4
1155895,0,1,2,4,4,6,3,5,-2
1155947,0,1,1,4,4,7,5,10,-5
1156163,1,1,3,4,5,9,6,10,-4
1156974,1,1,3,4,4,7,4,9,-5
1158506,0,1,3,5,5,7,1,6,-5
1158609,0,2,1,4,2,6,4,8,-4
1158817,0,1,1,5,3,8,3,6,-3
1159132,0,1,0,2,4,5,3,8,-5
1159271,1,3,2,5,2,7,2,6,-4
1159340,0,2,1,3,1,5,1,5,-4
1159448,0,1,0,2,3,5,5,8,-3
1159470,0,1,1,1,4,5,7,10,-3
1161637,2,1,2,3,4,6,3,5,-2
1161729,0,1,1,3,4,6,4,8,-4
1161828,0,1,4,6,5,8,6,6,0
1162171,0,1,4,5,8,9,6,10,-4
1162473,0,2,0,2,1,6,4,7,-3
1162488,0,1,0,7,3,9,2,4,-2
1162567,0,1,0,4,2,6,3,7,-4
1162929,1,2,2,3,3,5,2,3,-1
1164141,1,1,3,3,5,6,7,10,-3
1164910,0,1,1,3,4,8,6,10,-4
1165094,0,1,0,2,4,7,4,8,-4
1165780,0,2,1,4,5,6,5,8,-3
1165930,1,1,2,3,3,7,3,8,-5
1166005,0,1,1,4,2,7,3,8,-5
1166138,0,1,3,5,3,5,2,5,-3
1166147,1,1,1,1,3,3,6,10,-4
1166320,0,0,0,0,0,0,0,0,0
1166348,1,1,2,3,3,7,5,10,-5
1166853,0,0,2,5,3,6,5,8,-3
1166998,1,3,3,5,3,8,4,7,-3
1168209,0,1,2,5,4,8,5,9,-4
1169448,1,3,2,3,2,4,1,1,0
1170287,0,0,0,3,2,4,5,7,-2
1170504,1,3,3,5,4,8,3,6,-3
1171083,0,1,2,2,4,3,6,9,-3
1172462,1,1,2,5,4,6,0,6,-6
